Case_Type,Cases,Country_Region,Date,iso3
confirmed,0.0,Afghanistan,2020-01-22,AFG
confirmed,0.0,Afghanistan,2020-01-23,AFG
confirmed,0.0,Afghanistan,2020-01-24,AFG
confirmed,0.0,Afghanistan,2020-01-25,AFG
confirmed,0.0,Afghanistan,2020-01-26,AFG
confirmed,0.0,Afghanistan,2020-01-27,AFG
confirmed,0.0,Afghanistan,2020-01-28,AFG
confirmed,0.0,Afghanistan,2020-01-29,AFG
confirmed,0.0,Afghanistan,2020-01-30,AFG
confirmed,0.0,Afghanistan,2020-01-31,AFG
confirmed,0.0,Afghanistan,2020-02-01,AFG
confirmed,0.0,Afghanistan,2020-02-02,AFG
confirmed,0.0,Afghanistan,2020-02-03,AFG
confirmed,0.0,Afghanistan,2020-02-04,AFG
confirmed,0.0,Afghanistan,2020-02-05,AFG
confirmed,0.0,Afghanistan,2020-02-06,AFG
confirmed,0.0,Afghanistan,2020-02-07,AFG
confirmed,0.0,Afghanistan,2020-02-08,AFG
confirmed,0.0,Afghanistan,2020-02-09,AFG
confirmed,0.0,Afghanistan,2020-02-10,AFG
confirmed,0.0,Afghanistan,2020-02-11,AFG
confirmed,0.0,Afghanistan,2020-02-12,AFG
confirmed,0.0,Afghanistan,2020-02-13,AFG
confirmed,0.0,Afghanistan,2020-02-14,AFG
confirmed,0.0,Afghanistan,2020-02-15,AFG
confirmed,0.0,Afghanistan,2020-02-16,AFG
confirmed,0.0,Afghanistan,2020-02-17,AFG
confirmed,0.0,Afghanistan,2020-02-18,AFG
confirmed,0.0,Afghanistan,2020-02-19,AFG
confirmed,0.0,Afghanistan,2020-02-20,AFG
confirmed,0.0,Afghanistan,2020-02-21,AFG
confirmed,0.0,Afghanistan,2020-02-22,AFG
confirmed,0.0,Afghanistan,2020-02-23,AFG
confirmed,1.0,Afghanistan,2020-02-24,AFG
confirmed,1.0,Afghanistan,2020-02-25,AFG
confirmed,1.0,Afghanistan,2020-02-26,AFG
confirmed,1.0,Afghanistan,2020-02-27,AFG
confirmed,1.0,Afghanistan,2020-02-28,AFG
confirmed,1.0,Afghanistan,2020-02-29,AFG
confirmed,1.0,Afghanistan,2020-03-01,AFG
confirmed,1.0,Afghanistan,2020-03-02,AFG
confirmed,1.0,Afghanistan,2020-03-03,AFG
confirmed,1.0,Afghanistan,2020-03-04,AFG
confirmed,1.0,Afghanistan,2020-03-05,AFG
confirmed,1.0,Afghanistan,2020-03-06,AFG
confirmed,1.0,Afghanistan,2020-03-07,AFG
confirmed,4.0,Afghanistan,2020-03-08,AFG
confirmed,4.0,Afghanistan,2020-03-09,AFG
confirmed,5.0,Afghanistan,2020-03-10,AFG
