,Date,Country_Region,Province_State,Difference,Prep_Flow_Runtime,Latest_Date,Case_Type,Cases,Lat,Long
0,3/9/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
1,3/8/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
2,3/7/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
3,3/6/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
4,3/5/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
5,3/4/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
6,3/3/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
7,3/23/2020,India,,3,3/24/2020 9:39:03 AM,3/23/2020,Deaths,10,21.0,78.0
8,3/22/2020,India,,3,3/24/2020 9:39:03 AM,3/23/2020,Deaths,7,21.0,78.0
9,3/21/2020,India,,-1,3/24/2020 9:39:03 AM,3/23/2020,Deaths,4,21.0,78.0
10,3/20/2020,India,,1,3/24/2020 9:39:03 AM,3/23/2020,Deaths,5,21.0,78.0
11,3/2/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
12,3/19/2020,India,,1,3/24/2020 9:39:03 AM,3/23/2020,Deaths,4,21.0,78.0
13,3/18/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,3,21.0,78.0
14,3/17/2020,India,,1,3/24/2020 9:39:03 AM,3/23/2020,Deaths,3,21.0,78.0
15,3/16/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,2,21.0,78.0
16,3/15/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,2,21.0,78.0
17,3/14/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,2,21.0,78.0
18,3/13/2020,India,,1,3/24/2020 9:39:03 AM,3/23/2020,Deaths,2,21.0,78.0
19,3/12/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,1,21.0,78.0
20,3/11/2020,India,,1,3/24/2020 9:39:03 AM,3/23/2020,Deaths,1,21.0,78.0
21,3/10/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
22,3/1/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
23,2/9/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
24,2/8/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
25,2/7/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
26,2/6/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
27,2/5/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
28,2/4/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
29,2/3/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
30,2/29/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
31,2/28/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
32,2/27/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
33,2/26/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
34,2/25/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
35,2/24/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
36,2/23/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
37,2/22/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
38,2/21/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
39,2/20/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
40,2/2/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
41,2/19/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
42,2/18/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
43,2/17/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
44,2/16/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
45,2/15/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
46,2/14/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
47,2/13/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
48,2/12/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
49,2/11/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
50,2/10/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
51,2/1/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
52,1/31/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
53,1/30/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
54,1/29/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
55,1/28/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
56,1/27/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
57,1/26/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
58,1/25/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
59,1/24/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
60,1/23/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21.0,78.0
61,3/9/2020,India,,4,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,43,21.0,78.0
62,3/8/2020,India,,5,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,39,21.0,78.0
63,3/7/2020,India,,3,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,34,21.0,78.0
64,3/6/2020,India,,1,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,31,21.0,78.0
65,3/5/2020,India,,2,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,30,21.0,78.0
66,3/4/2020,India,,23,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,28,21.0,78.0
67,3/3/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,5,21.0,78.0
68,3/23/2020,India,,103,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,499,21.0,78.0
69,3/22/2020,India,,66,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,396,21.0,78.0
70,3/21/2020,India,,86,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,330,21.0,78.0
71,3/20/2020,India,,50,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,244,21.0,78.0
72,3/2/2020,India,,2,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,5,21.0,78.0
73,3/19/2020,India,,38,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,194,21.0,78.0
74,3/18/2020,India,,14,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,156,21.0,78.0
75,3/17/2020,India,,23,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,142,21.0,78.0
76,3/16/2020,India,,6,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,119,21.0,78.0
77,3/15/2020,India,,11,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,113,21.0,78.0
78,3/14/2020,India,,20,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,102,21.0,78.0
79,3/13/2020,India,,9,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,82,21.0,78.0
80,3/12/2020,India,,11,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,73,21.0,78.0
81,3/11/2020,India,,6,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,62,21.0,78.0
82,3/10/2020,India,,13,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,56,21.0,78.0
83,3/1/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,3,21.0,78.0
84,2/9/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,3,21.0,78.0
85,2/8/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,3,21.0,78.0
86,2/7/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,3,21.0,78.0
87,2/6/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,3,21.0,78.0
88,2/5/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,3,21.0,78.0
89,2/4/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,3,21.0,78.0
90,2/3/2020,India,,1,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,3,21.0,78.0
91,2/29/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,3,21.0,78.0
92,2/28/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,3,21.0,78.0
93,2/27/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,3,21.0,78.0
94,2/26/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,3,21.0,78.0
95,2/25/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,3,21.0,78.0
96,2/24/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,3,21.0,78.0
97,2/23/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,3,21.0,78.0
98,2/22/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,3,21.0,78.0
99,2/21/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,3,21.0,78.0
100,2/20/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,3,21.0,78.0
101,2/2/2020,India,,1,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,2,21.0,78.0
102,2/19/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,3,21.0,78.0
103,2/18/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,3,21.0,78.0
104,2/17/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,3,21.0,78.0
105,2/16/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,3,21.0,78.0
106,2/15/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,3,21.0,78.0
107,2/14/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,3,21.0,78.0
108,2/13/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,3,21.0,78.0
109,2/12/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,3,21.0,78.0
110,2/11/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,3,21.0,78.0
111,2/10/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,3,21.0,78.0
112,2/1/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,1,21.0,78.0
113,1/31/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,1,21.0,78.0
114,1/30/2020,India,,1,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,1,21.0,78.0
115,1/29/2020,India,,0,3/24/2020 9:39:03 AM,3/23/2020,Confirmed,0,21.0,78.0
